trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,train_location
DTF,PAK_2019,PAK,0.0349059016421525,0.0708995412370801,0.871519890777556,50,1,3,1001,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.190749533436388,0.223637222053331,0.820286051350031,53,1,3,1001,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.305228718661382,0.349067042300226,0.692254335081374,49,1,3,1001,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.0571110222328187,0.117991424894598,0.527329352971149,42,1,4,1001,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.304878164391285,0.306259403703715,0.859460968126307,56,1,4,1001,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.475767105893475,0.4244943122602,0.840687557666963,48,1,4,1001,CV1_PAK,PAK
DTF,PAK_2019,PAK,-0.287994885809885,-0.398026310419528,0.779964931741797,38,1,5,1001,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.0638802621203201,-0.0063007962745565,0.749172875340344,49,1,5,1001,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.1296438600343,0.219795824008595,0.794806341726283,48,1,5,1001,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.211615925949169,-0.0701698288439065,0.792458039698623,44,2,1,1002,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.0922429760838219,-0.0892658208057674,0.681626517549523,56,2,1,1002,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.1362618216307,0.203849773037894,0.634011736597029,52,2,1,1002,CV1_PAK,PAK
DTF,PAK_2019,PAK,-0.159865769255027,-0.0762050952178293,0.828672299127796,35,2,2,1002,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.208513133291711,0.274053040413896,0.832509087707222,56,2,2,1002,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.329623837975989,0.385355886729248,0.880080513439084,49,2,2,1002,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.0653281046114193,-0.107698087224921,0.924645482878143,43,2,3,1002,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.318702980783485,0.265074304677447,0.816894324296605,50,2,3,1002,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.429462955132589,0.336872787810553,0.674005348477893,49,2,3,1002,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.110981464013405,0.117577664026637,0.375898542601343,50,2,4,1002,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.321749330227026,0.168101962139726,0.785659894721549,53,2,4,1002,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.474876072075189,0.339900270469946,0.838981890473312,46,2,4,1002,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.515698086203221,0.0703131168294497,0.882059257750129,49,2,5,1002,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.551286161508725,0.549559512758375,0.892648829717202,52,2,5,1002,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.509488155681955,0.514974680928237,0.810715267458842,48,2,5,1002,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.118529543733166,-0.145607974931274,0.83201752754416,43,3,1,1003,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.243731988565811,0.17366729962325,0.757267598734956,52,3,1,1003,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.51405819269992,0.468435074355746,0.768401495164619,52,3,1,1003,CV1_PAK,PAK
DTF,PAK_2019,PAK,-0.0184334464840441,-0.0899020084499637,0.534201983147778,45,3,2,1003,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.198217180636039,0.139437765720866,0.71463954756414,53,3,2,1003,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.232836739023994,0.249807220013011,0.774124796405332,46,3,2,1003,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.200298260891768,0.0919683626660961,0.91067738742214,44,3,3,1003,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.098027365259394,0.281728239621554,0.824925460373553,53,3,3,1003,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.353737438674448,0.484975686898437,0.818920760082382,46,3,3,1003,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.233936337777046,0.111644313679765,0.877907149568084,42,3,4,1003,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.562692273938867,0.493841439229135,0.801840049695571,55,3,4,1003,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.352542768182013,0.344289084223777,0.799110154806239,49,3,4,1003,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.320750321284588,0.205869485263768,0.829998042390147,47,3,5,1003,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.370824397976775,0.230176329710591,0.719896646816653,54,3,5,1003,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.46810964160017,0.451880290276874,0.808429957377594,51,3,5,1003,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.268142684663921,0.01854444157424,0.918765198931998,42,4,1,1004,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.270508407663187,0.409552487414908,0.895912077449529,54,4,1,1004,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.434037473506514,0.450932493806373,0.899417498941499,51,4,1,1004,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.215466791418758,0.0487403921106329,0.59846645067062,43,4,2,1004,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.467118955212211,0.32443900462777,0.749260305985771,53,4,2,1004,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.48903373228601,0.498289520339265,0.801990827307134,49,4,2,1004,CV1_PAK,PAK
