trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,model
DTF,AUS_2019,AUS,-0.034970734,0.052293595,0.804978703,38,9,3,1009,CV1,GBLUP
DTF,PAK_2019,PAK,0.311441422,0.310071793,0.824676782,39,9,3,1009,CV1,GBLUP
DTF,PAK_2020,PAK,0.228381456,0.178562386,0.64831959,52,9,3,1009,CV1,GBLUP
DTF,PAK_2021,PAK,0.527705377,0.546537648,0.808238191,50,9,3,1009,CV1,GBLUP
DTF,AUS_2018,AUS,0.28020799,0.336380725,0.677773894,103,9,4,1009,CV1,GBLUP
DTF,AUS_2019,AUS,0.238591778,0.243509552,0.830529521,49,9,4,1009,CV1,GBLUP
DTF,PAK_2019,PAK,0.032363632,0.049017892,0.623658646,48,9,4,1009,CV1,GBLUP
DTF,PAK_2020,PAK,0.385277327,0.308787636,0.763779587,51,9,4,1009,CV1,GBLUP
DTF,PAK_2021,PAK,0.365358112,0.258803753,0.701674947,48,9,4,1009,CV1,GBLUP
DTF,AUS_2018,AUS,0.290347149,0.244474353,0.851897814,93,9,5,1009,CV1,GBLUP
DTF,AUS_2019,AUS,0.20961005,0.246541815,0.80791009,54,9,5,1009,CV1,GBLUP
DTF,PAK_2019,PAK,0.143204201,-0.081600822,0.870325651,46,9,5,1009,CV1,GBLUP
DTF,PAK_2020,PAK,0.058062026,0.172404772,0.818416673,50,9,5,1009,CV1,GBLUP
DTF,PAK_2021,PAK,-0.065359724,0.172185443,0.768709114,38,9,5,1009,CV1,GBLUP
DTF,AUS_2018,AUS,0.307126816,0.28371964,0.813753851,100,10,1,1010,CV1,GBLUP
DTF,AUS_2019,AUS,0.064004722,0.06695155,0.881990745,60,10,1,1010,CV1,GBLUP
DTF,PAK_2019,PAK,-0.03970972,-0.192661743,0.650115587,42,10,1,1010,CV1,GBLUP
DTF,PAK_2020,PAK,0.301556041,0.248286185,0.793058826,53,10,1,1010,CV1,GBLUP
DTF,PAK_2021,PAK,0.336814582,0.383325424,0.745217197,50,10,1,1010,CV1,GBLUP
DTF,AUS_2018,AUS,0.207542213,0.247586835,0.805103634,98,10,2,1010,CV1,GBLUP
DTF,AUS_2019,AUS,0.097634171,0.222942499,0.890541008,35,10,2,1010,CV1,GBLUP
DTF,PAK_2019,PAK,0.234920148,0.169505512,0.916417389,39,10,2,1010,CV1,GBLUP
DTF,PAK_2020,PAK,0.302837019,0.260542301,0.772941655,46,10,2,1010,CV1,GBLUP
DTF,PAK_2021,PAK,0.172551232,0.337144318,0.858559645,42,10,2,1010,CV1,GBLUP
DTF,AUS_2018,AUS,0.191510159,0.182206413,0.506005306,101,10,3,1010,CV1,GBLUP
DTF,AUS_2019,AUS,0.384090878,0.361858184,0.928599423,40,10,3,1010,CV1,GBLUP
DTF,PAK_2019,PAK,0.086822086,0.174013204,0.832476592,46,10,3,1010,CV1,GBLUP
DTF,PAK_2020,PAK,0.094117244,0.091579269,0.705523798,56,10,3,1010,CV1,GBLUP
DTF,PAK_2021,PAK,0.228364594,0.017584743,0.431597372,50,10,3,1010,CV1,GBLUP
DTF,AUS_2018,AUS,0.244170099,0.240874,0.746841238,95,10,4,1010,CV1,GBLUP
DTF,AUS_2019,AUS,0.378735552,0.303398978,0.866347168,51,10,4,1010,CV1,GBLUP
DTF,PAK_2019,PAK,0.098616132,-0.072712816,0.785416794,49,10,4,1010,CV1,GBLUP
DTF,PAK_2020,PAK,0.441668998,0.37432937,0.829317818,56,10,4,1010,CV1,GBLUP
